word,color,congruency,expected,repeat_index,Stroop_text.text,Stroop_text.color,Stroop_keyboard.correct,Stroop_keyboard.name,Stroop_keyboard.rt,participant,session,date,expName,psychopyVersion,frameRate,
red,red,congruent,left,1,red,red,True,left,1.0423797526455019,,001,2020_Nov_14_1726,,2020.1.3,59.65006356377228,
red,green,incongruent,right,1,red,green,False,left,2.8583197945845313,,001,2020_Nov_14_1726,,2020.1.3,59.65006356377228,
red,blue,incongruent,right,1,red,blue,False,down,2.2019914788834285,,001,2020_Nov_14_1726,,2020.1.3,59.65006356377228,
red,yellow,incongruent,right,1,red,yellow,False,up,4.999702962610172,,001,2020_Nov_14_1726,,2020.1.3,59.65006356377228,
green,red,incongruent,left,1,green,red,False,right,3.0023334341531154,,001,2020_Nov_14_1726,,2020.1.3,59.65006356377228,
green,green,congruent,right,1,green,green,True,right,10.739085837180028,,001,2020_Nov_14_1726,,2020.1.3,59.65006356377228,
green,blue,incongruent,right,1,green,blue,True,right,4.911389271757798,,001,2020_Nov_14_1726,,2020.1.3,59.65006356377228,
green,yellow,incongruent,right,1,green,yellow,True,right,0.5083251979958732,,001,2020_Nov_14_1726,,2020.1.3,59.65006356377228,
blue,red,incongruent,left,1,blue,red,True,left,1.5378955140768085,,001,2020_Nov_14_1726,,2020.1.3,59.65006356377228,
