word,color,repeat_index,Stroop_text.text,Stroop_keyboard.correct,Stroop_keyboard.name,Stroop_keyboard.rt,participant,session,date,expName,psychopyVersion,frameRate,
red,red,1,left,True,left,2.211948269599816,,001,2020_Nov_14_1426,,2020.1.3,59.9959794006378,
green,green,1,down,True,down,0.6972965369059239,,001,2020_Nov_14_1426,,2020.1.3,59.9959794006378,
blue,blue,1,right,True,right,0.5719262212223839,,001,2020_Nov_14_1426,,2020.1.3,59.9959794006378,
yellow,yellow,1,up,False,down,0.805716400500387,,001,2020_Nov_14_1426,,2020.1.3,59.9959794006378,
