word,color,repeat_index,Stroop_text.text,Stroop_text.color,Stroop_keyboard.correct,Stroop_keyboard.name,Stroop_keyboard.rt,participant,session,date,expName,psychopyVersion,frameRate,
crvena,red,1,left,red,True,left,2.5446929617028218,,001,2020_Nov_14_1642,,2020.1.3,59.83689291378696,
zelena,green,1,down,green,True,down,7.440420150960563,,001,2020_Nov_14_1642,,2020.1.3,59.83689291378696,
plava,blue,1,right,blue,True,right,9.953683897852898,,001,2020_Nov_14_1642,,2020.1.3,59.83689291378696,
zuta,yellow,1,up,yellow,True,up,1.4924675054789986,,001,2020_Nov_14_1642,,2020.1.3,59.83689291378696,
