word,color,repeat_index,Stroop_text.text,Stroop_keyboard.correct,Stroop_keyboard.name,Stroop_keyboard.rt,participant,session,date,expName,psychopyVersion,frameRate,
crvena,red,1,left,True,left,1.4252495084074326,,001,2020_Nov_14_1640,,2020.1.3,59.91481342170988,
zelena,green,1,down,True,down,0.7999398680403829,,001,2020_Nov_14_1640,,2020.1.3,59.91481342170988,
plava,blue,1,right,True,right,0.8598279235593509,,001,2020_Nov_14_1640,,2020.1.3,59.91481342170988,
zuta,yellow,1,up,False,down,0.46555784772499464,,001,2020_Nov_14_1640,,2020.1.3,59.91481342170988,
