word,color,congruency,expected,repeat_index,Stroop_text.text,Stroop_text.color,Stroop_keyboard.correct,Stroop_keyboard.name,Stroop_keyboard.rt,participant,session,date,expName,psychopyVersion,frameRate,
red,red,congruent,red,1,red,red,True,left,1.4484129930788185,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
red,green,incongruent,green,1,red,green,False,left,4.594828892557416,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
red,blue,incongruent,blue,1,red,blue,False,left,2.0488137521315366,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
red,yellow,incongruent,yellow,1,red,yellow,False,right,0.7816213533806149,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
green,red,incongruent,red,1,green,red,True,left,2.661518621898722,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
green,green,congruent,green,1,green,green,True,down,0.4910565777681768,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
green,blue,incongruent,blue,1,green,blue,True,right,0.5790424407168757,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
green,yellow,incongruent,yellow,1,green,yellow,True,up,0.35787574778078124,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
blue,red,incongruent,red,1,blue,red,False,up,0.47777864313684404,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
blue,green,incongruent,green,1,blue,green,False,right,0.4173387741902843,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
blue,blue,congruent,blue,1,blue,blue,False,down,0.32982563541736454,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
blue,yellow,incongruent,yellow,1,blue,yellow,False,left,0.4094618491071742,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
yellow,red,incongruent,red,1,yellow,red,True,left,0.9540938336285762,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
yellow,green,incongruent,green,1,yellow,green,True,down,0.6571578470175155,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
yellow,blue,incongruent,blue,1,yellow,blue,True,right,0.7576053954544477,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
yellow,yellow,congruent,yellow,1,yellow,yellow,True,up,0.4065452073409688,,001,2020_Nov_15_0947,,2020.1.3,60.03338092807046,
